,Country,Language,Year,Value
2022,Australia,Arabic,2001,107340.0
2026,Australia,Bengali,2001,6635.0
2032,Australia,Czech,2001,3321.0
2034,Australia,English,2001,6280244.0
2037,Australia,French,2001,17652.0
2038,Australia,German,2001,30697.0
2040,Australia,Gujarati,2001,2871.0
2043,Australia,Hindi,2001,24142.0
2045,Australia,Hungarian,2001,10736.0
2046,Australia,Indonesian,2001,18209.0
2049,Australia,Khmer,2001,10389.0
2056,Australia,Malayalam,2001,1520.0
2060,Australia,Marathi,2001,1171.0
2061,Australia,Nepali,2001,1603.0
2067,Australia,Polish,2001,26268.0
2069,Australia,Punjabi,2001,7530.0
2070,Australia,Romanian,2001,4871.0
2071,Australia,Russian,2001,15228.0
2077,Australia,Spanish,2001,44221.0
2079,Australia,Tamil,2001,12089.0
2080,Australia,Telugu,2001,2027.0
2081,Australia,Thai,2001,6548.0
2084,Australia,Ukrainian,2001,4604.0
2085,Australia,Urdu,2001,6982.0
2100,Australia,Arabic,2001,99592.0
2104,Australia,Bengali,2001,4974.0
2110,Australia,Czech,2001,3498.0
2112,Australia,English,2001,6558931.0
2115,Australia,French,2001,19407.0
2116,Australia,German,2001,35730.0
2118,Australia,Gujarati,2001,2588.0
2121,Australia,Hindi,2001,23210.0
2123,Australia,Hungarian,2001,12509.0
2124,Australia,Indonesian,2001,19813.0
2127,Australia,Khmer,2001,11174.0
2134,Australia,Malayalam,2001,1432.0
2138,Australia,Marathi,2001,1084.0
2139,Australia,Nepali,2001,878.0
2145,Australia,Polish,2001,31186.0
2147,Australia,Punjabi,2001,6380.0
2148,Australia,Romanian,2001,5053.0
2149,Australia,Russian,2001,18755.0
2155,Australia,Spanish,2001,47463.0
2157,Australia,Tamil,2001,11884.0
2158,Australia,Telugu,2001,1448.0
2159,Australia,Thai,2001,10303.0
2162,Australia,Ukrainian,2001,5719.0
2163,Australia,Urdu,2001,5371.0
2178,Australia,Arabic,2001,2424.0
2182,Australia,Bengali,2001,57.0
2188,Australia,Czech,2001,476.0
2190,Australia,English,2001,2168029.0
2193,Australia,French,2001,2558.0
2194,Australia,German,2001,9972.0
2196,Australia,Gujarati,2001,36.0
2199,Australia,Hindi,2001,456.0
2201,Australia,Hungarian,2001,1239.0
2202,Australia,Indonesian,2001,689.0
2205,Australia,Khmer,2001,415.0
2212,Australia,Malayalam,2001,16.0
2216,Australia,Marathi,2001,10.0
2217,Australia,Nepali,2001,12.0
2223,Australia,Polish,2001,1585.0
